Speed,Power
1.040658277,0
1.766698935,0
1.936108422,13.37579618
2.444336883,26.75159236
2.904162633,75.79617834
3.436592449,133.7579618
3.654404647,160.5095541
3.799612778,200.6369427
4.114230397,294.2675159
4.840271055,512.7388535
5.856727977,945.2229299
7.066795741,1449.044586
7.720232333,1738.853503
8.276863504,2055.414013
8.930300097,2367.515924
9.341723136,2635.031847
10.21297193,3000.636943
10.84220716,3299.363057
11.27783156,3400
11.59244918,3500
12.80251694,3607.006369
15.27105518,3607.006369
17.9090029,3611.464968
21.61181026,3602.547771
24.0803485,3602.547771
25.2178122,3598.089172
